Franchise,Total,Releases,#1 Release,Lifetime Gross
The Hangover,643986880,3,The Hangover,277322503
The Conjuring,617838873,6,The Conjuring,137400141
LEGO,598599139,4,The Lego Movie,257760692
Fockers,593943805,3,Meet the Fockers,279261160
Alien,593013322,10,Prometheus,126477084
The Matrix,592370339,3,The Matrix Reloaded,281576461
Cars,588436493,3,Cars,244082982
Teenage Mutant Ninja Turtles,583601790,6,Teenage Mutant Ninja Turtles,191204754
Madea,569784278,9,Madea Goes to Jail,90508336
Ocean's 11,566334865,4,Ocean's Eleven,183417150
"Monsters, Inc.",558409020,3,Monsters University,268492764
How to Train Your Dragon,555383660,3,How to Train Your Dragon,217581231
The Mummy,550944126,4,The Mummy Returns,202019785
Night at the Museum,541853610,3,Night at the Museum,250863268
It,540422102,3,It,327481748
Wolverine,538717077,3,Logan,226277068
The Chronicles of Narnia,537719397,3,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",291710957
Planet of the Apes (2011-2017),532185936,3,Dawn of the Planet of the Apes,208545589
The Secret Life of Pets,527258725,2,The Secret Life of Pets,368384330
Kung Fu Panda,524212273,3,Kung Fu Panda,215434591
Rush Hour,507477118,3,Rush Hour 2,226164286
Die Hard,502951140,6,Live Free or Die Hard,134529403
Jack Ryan,497036395,5,Clear and Present Danger,122187717
Home Alone,490229274,3,Home Alone,285761243
Lethal Weapon,487637243,4,Lethal Weapon 2,147253986
Hotel Transylvania,485523174,3,Hotel Transylvania 2,169700110
Ghostbusters,484032391,7,Ghostbusters,229242989
Monsterverse,479229019,3,Godzilla,200676069
Austin Powers,473231964,3,Austin Powers in Goldmember,213307889
Halloween,467864660,11,Halloween,159342015
Godzilla,464125400,8,Godzilla,200676069
Scary Movie,461058392,5,Scary Movie,157019771
Saw,454782224,9,Saw II,87039965
King Kong,443458502,4,King Kong,218080025
Beverly Hills Cop,431040426,3,Beverly Hills Cop,234760478
The Karate Kid,430643938,7,The Karate Kid,176591618
Hannibal Lecter,425277003,5,Hannibal,165092268
Back to the Future,418684347,7,Back to the Future,210609762
Wonder Woman,412563408,1,Wonder Woman,412563408
Alice in Wonderland,411232491,2,Alice in Wonderland,334191110
Independence Day,409313554,2,Independence Day,306169268
American Pie,409241234,4,American Pie 2,145103595
Bad Boys,408833323,3,Bad Boys for Life,204417855
Jaws,408804375,6,Jaws,260000000
Paranormal Activity,401348020,6,Paranormal Activity,107918810
Ant-Man,396850903,2,Ant-Man and the Wasp,216648740
Sherlock Holmes,395877097,2,Sherlock Holmes,209028679
Fantastic Beasts,393593476,2,Fantastic Beasts and Where to Find Them,234037575
National Treasure,392973009,2,National Treasure: Book of Secrets,219964115
Wreck-It Ralph,390514600,2,Ralph Breaks the Internet,201091711
Robert Langdon,385255558,3,The Da Vinci Code,217536138
Friday the 13th,382746073,13,Freddy vs. Jason,82622655
Fifty Shades,381156240,3,Fifty Shades of Grey,166167230
Taken,374111700,3,Taken,145000989
Nightmare on Elm Street,370495086,9,Freddy vs. Jason,82622655
The Santa Clause,368569806,3,The Santa Clause,144833357
Jackass,356266735,4,Jackass 3D,117229692
Maleficent,355339983,2,Maleficent,241410378
Pitch Perfect Trilogy,354194853,3,Pitch Perfect 2,184296230
Spy Kids,348865600,4,Spy Kids,112719001
Divergent,347311018,3,Divergent,150947895
Unbreakable,344351172,3,Split,138291365
Fantastic Four,342735366,3,Fantastic Four,154696080
The Muppets,340600484,9,The Muppets,88631237
Rambo,338917404,5,Rambo: First Blood Part II,150415432
Minions,336045770,1,Minions,336045770
Aquaman,335061807,1,Aquaman,335061807
The Exorcist,331827592,7,The Exorcist,193000000
Scream,331734067,4,Scream,103046663
Jump Street,330167004,2,22 Jump Street,191719337
300,317194990,2,300,210614939
Predator,315509654,6,Alien vs. Predator,80282231
Crocodile Dundee,309745398,3,Crocodile Dundee,174803506
John Wick,306082706,3,John Wick: Chapter 3 - Parabellum,171015687
My Big Fat Greek Wedding,301127813,2,My Big Fat Greek Wedding,241438208
Ted,300291872,2,Ted,218815487
Grown Ups,295669711,2,Grown Ups,162001186
Pokemon,293134648,6,Pokémon Detective Pikachu,144105346
The Purge,285138035,4,The Purge: Election Year,79213375
The Pink Panther,282627700,10,The Pink Panther,82226474
Vacation,278753867,6,National Lampoon's Christmas Vacation,71319526
Rio,275158244,2,Rio,143619809
Mary Poppins,274231165,4,Mary Poppins Returns,171958438
G.I. Joe,272724558,2,G.I. Joe: The Rise of Cobra,150201498
Resident Evil,271274006,6,Resident Evil: Afterlife,60128566
Sing,270395425,1,Sing,270395425
The Smurfs,269886444,4,The Smurfs,142614158
Mamma Mia!,264804599,3,Mamma Mia!,144130063
Final Destination,263455755,5,The Final Destination,66477700
Annabelle,260518605,3,Annabelle: Creation,102092201
Insidious,257559485,4,Insidious: Chapter 2,83586447
Daddy's Home,254386580,2,Daddy's Home,150357137
Underworld,252766892,5,Underworld Awakening,62321039
SpongeBob,251726165,3,The SpongeBob Movie: Sponge Out of Water,162994032
The Godfather,249467068,5,The Godfather,133698921
Cloudy with a Chance of Meatballs,244663842,2,Cloudy with a Chance of Meatballs,124870275
Maze Runner,242157497,3,The Maze Runner,102427862
Dumb and Dumber,239659849,3,Dumb and Dumber,127175374
Police Academy,239643235,7,Police Academy,81198894
Scooby-Doo,237510997,2,Scooby-Doo,153294164
The Ring,233152400,3,The Ring,129128133
Doctor Strange,232641920,1,Doctor Strange,232641920
Barbershop,231274783,4,Barbershop,75782105
Fallen,230480336,3,Olympus Has Fallen,98925640
Kingsman Franchise,228496562,2,Kingsman: The Secret Service,128261724
Dirty Harry,227525988,5,Sudden Impact,67642693
The Expendables,227419260,3,The Expendables,103068524
Ride Along,226160030,2,Ride Along,134938200
Big Momma,225640824,3,Big Momma's House,117559438
Creed,225483470,2,Creed II,115715889
Mad Max,222706466,5,Mad Max: Fury Road,153636354
Paul Blart,217374368,2,Paul Blart: Mall Cop,146336178
The Naked Gun,216819186,3,The Naked Gun 2½: The Smell of Fear,86930411
Rugrats,216405003,3,The Rugrats Movie,100494675
