name,rating,picture,rank
Conrad Vernon,6.33,"https://m.media-amazon.com/images/M/MV5BMTY3NjM5NjMxNF5BMl5BanBnXkFtZTcwMTc1ODMxOA@@._V1_UX140_CR0,0,140,209_AL_.jpg",44
Lana Wachowski,6.33,"https://m.media-amazon.com/images/M/MV5BMjEzMTc2MDQ5OV5BMl5BanBnXkFtZTcwNjkzNDY0OA@@._V1_UX140_CR0,0,140,209_AL_.jpg",45
Lilly Wachowski,6.33,"https://m.media-amazon.com/images/M/MV5BMTU1Mjc1MjkzNV5BMl5BanBnXkFtZTgwOTc1NDQ1ODE@._V1_UX140_CR0,0,140,209_AL_.jpg",46
George Lucas,6.25,"https://m.media-amazon.com/images/M/MV5BMTA0Mjc0NzExNzBeQTJeQWpwZ15BbWU3MDEzMzQ3MDI@._V1_UY209_CR1,0,140,209_AL_.jpg",47
Luc Besson,6.2,"https://m.media-amazon.com/images/M/MV5BMTAwNzE4Njg0NTFeQTJeQWpwZ15BbWU3MDk0MDEyMDc@._V1_UY209_CR3,0,140,209_AL_.jpg",48
Andrzej Wajda,6.2,"https://m.media-amazon.com/images/M/MV5BMjA2ODE4NTMyMV5BMl5BanBnXkFtZTcwMTM4Njg4OA@@._V1_UY209_CR4,0,140,209_AL_.jpg",49
Eric Darnell,6,"https://m.media-amazon.com/images/M/MV5BMTU5NDI2MzI0NV5BMl5BanBnXkFtZTcwMTAxMzgwOA@@._V1_UX140_CR0,0,140,209_AL_.jpg",50
Ron Howard,6,"https://m.media-amazon.com/images/M/MV5BMTkzMDczMjUxNF5BMl5BanBnXkFtZTcwODY1Njk5Mg@@._V1_UX140_CR0,0,140,209_AL_.jpg",51
John Lasseter,6,"https://m.media-amazon.com/images/M/MV5BMTQ5NTczNjE5MV5BMl5BanBnXkFtZTcwMTA1MTQ3Mg@@._V1_UY209_CR11,0,140,209_AL_.jpg",52
Juliusz Machulski,6,"https://m.media-amazon.com/images/M/MV5BMWE5NzY2OGYtODAwZS00ODMzLTliYWItNDFhYTZiMjRjMzUwXkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_UY209_CR87,0,140,209_AL_.jpg",53
Tom McGrath,6,"https://m.media-amazon.com/images/M/MV5BNzU4NjU0MDEyNF5BMl5BanBnXkFtZTcwMjY0MzUwNA@@._V1_UX140_CR0,0,140,209_AL_.jpg",54
Kazuki Akane,5.8,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/medium/name-2135195744._CB466677935_.png,55
Martin Campbell,5.67,"https://m.media-amazon.com/images/M/MV5BMTYwODg0MjMwMV5BMl5BanBnXkFtZTYwMzY5NTU0._V1_UX140_CR0,0,140,209_AL_.jpg",56
Doug Liman,5.67,"https://m.media-amazon.com/images/M/MV5BODk4MjIwNjU5OF5BMl5BanBnXkFtZTcwODU4Njk1Mw@@._V1_UY209_CR7,0,140,209_AL_.jpg",57
Carlos Saldanha,5.67,"https://m.media-amazon.com/images/M/MV5BMTk5NDA3MjQ5NF5BMl5BanBnXkFtZTYwMjQ0MTIz._V1_UX140_CR0,0,140,209_AL_.jpg",58
Stephen Sommers,5.67,"https://m.media-amazon.com/images/M/MV5BMTYzMzc3ODc1N15BMl5BanBnXkFtZTYwNjI1NTY0._V1_UX140_CR0,0,140,209_AL_.jpg",59
Ethan Spaulding,5.67,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/medium/name-2135195744._CB466677935_.png,60
David Yates,5.67,"https://m.media-amazon.com/images/M/MV5BMTY2NTU4NjY4M15BMl5BanBnXkFtZTYwNjIxOTI1._V1_UY209_CR7,0,140,209_AL_.jpg",61
Jon Favreau,5.5,"https://m.media-amazon.com/images/M/MV5BNjcwNzg4MjktNDNlMC00M2U1LWJmMjgtZTVkMmI4MDI2MTVmXkEyXkFqcGdeQXVyMjI4MDI0NTM@._V1_UY209_CR8,0,140,209_AL_.jpg",62
Chris Columbus,5.5,"https://m.media-amazon.com/images/M/MV5BMTY2MTYzNzUyNl5BMl5BanBnXkFtZTYwMDI0NzA0._V1_UY209_CR2,0,140,209_AL_.jpg",63
M. Night Shyamalan,5.5,"https://m.media-amazon.com/images/M/MV5BMTczMTA5OTMxMl5BMl5BanBnXkFtZTcwMDA4NDg1Mw@@._V1_UY209_CR87,0,140,209_AL_.jpg",64
Sam Liu,5.4,"https://m.media-amazon.com/images/M/MV5BMWViMTIyMWEtNGQ4Ny00OGQwLTllMmUtOThjYjk5MzYwNjViXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX140_CR0,0,140,209_AL_.jpg",65
Shawn Levy,5.33,"https://m.media-amazon.com/images/M/MV5BNTkyNjk4MTM0NF5BMl5BanBnXkFtZTcwNTA4MTQ5Mw@@._V1_UY209_CR87,0,140,209_AL_.jpg",66
J.J. Abrams,5,"https://m.media-amazon.com/images/M/MV5BMTM4MTE0NTkzMV5BMl5BanBnXkFtZTcwODEwNDU0OQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",67
Zack Snyder,4.83,"https://m.media-amazon.com/images/M/MV5BMTMzMjUyNjk1MV5BMl5BanBnXkFtZTcwMDc2Mzk3NA@@._V1_UY209_CR8,0,140,209_AL_.jpg",68
Michael Bay,4.67,"https://m.media-amazon.com/images/M/MV5BMTc2NzcyMDU5NV5BMl5BanBnXkFtZTcwODc1OTM0NA@@._V1_UY209_CR5,0,140,209_AL_.jpg",69
Darren Lynn Bousman,4.67,"https://m.media-amazon.com/images/M/MV5BMTQ1NTM5OTQ4Nl5BMl5BanBnXkFtZTcwMDE4OTQwNA@@._V1_UY209_CR21,0,140,209_AL_.jpg",70
Robert Rodriguez,4.6,"https://m.media-amazon.com/images/M/MV5BMTc0NDg4ODAwNF5BMl5BanBnXkFtZTgwMTIxNTA0MjE@._V1_UX140_CR0,0,140,209_AL_.jpg",71
Rob Letterman,4.33,"https://m.media-amazon.com/images/M/MV5BMTkxMDA0MDMyMF5BMl5BanBnXkFtZTcwMjkwNzMzOA@@._V1_UY209_CR9,0,140,209_AL_.jpg",72
Roland Emmerich,4.17,"https://m.media-amazon.com/images/M/MV5BMTgyMzk0NTkyOF5BMl5BanBnXkFtZTcwNDcyMDgzOQ@@._V1_UY209_CR116,0,140,209_AL_.jpg",73
Patryk Vega,3.5,"https://m.media-amazon.com/images/M/MV5BNzk0ZTljOTQtMTViNS00NmU2LTliODEtYmI5YzNiMDgwNjMwXkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",74
